Loading data
Number of tasks = 13
Fold 0
Splitting data with seed 0
Class sizes
G1 0: 96.70%, 1: 3.30%
G2 0: 97.37%, 1: 2.63%
G3 0: 96.61%, 1: 3.39%
G4 0: 95.81%, 1: 4.19%
G5 0: 95.92%, 1: 4.08%
G6 0: 96.50%, 1: 3.50%
G7 0: 95.89%, 1: 4.11%
G8 0: 96.01%, 1: 3.99%
G9 0: 96.67%, 1: 3.33%
G10 0: 96.67%, 1: 3.33%
G11 0: 93.72%, 1: 6.28%
G12 0: 96.58%, 1: 3.42%
G13 0: 94.79%, 1: 5.21%
Total size = 37,773 | train size = 37,773 | val size = 4,721 | test size = 4,723
Building model 0
MoleculeModel(
  (sigmoid): Sigmoid()
  (encoder): MPN()
  (ffn): Sequential(
    (0): Dropout(p=0.35000000000000003, inplace=False)
    (1): Linear(in_features=2048, out_features=800, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.35000000000000003, inplace=False)
    (4): Linear(in_features=800, out_features=800, bias=True)
    (5): ReLU()
    (6): Dropout(p=0.35000000000000003, inplace=False)
    (7): Linear(in_features=800, out_features=13, bias=True)
  )
)
Number of parameters = 2,290,413
Moving model to cuda
Epoch 0
Loss = 1.4626e-01, PNorm = 52.0645, GNorm = 0.3828, lr_0 = 7.9258e-04
Loss = 1.2696e-01, PNorm = 52.1726, GNorm = 0.1895, lr_0 = 7.9854e-04
Loss = 2.0343e-01, PNorm = 52.2753, GNorm = 0.1739, lr_0 = 8.0450e-04
Loss = 1.6570e-01, PNorm = 52.4548, GNorm = 0.4070, lr_0 = 8.1046e-04
Loss = 1.7625e-01, PNorm = 52.5894, GNorm = 0.2951, lr_0 = 8.1642e-04
Loss = 1.5450e-01, PNorm = 52.7478, GNorm = 0.3628, lr_0 = 8.2238e-04
Loss = 1.6583e-01, PNorm = 52.8878, GNorm = 0.1600, lr_0 = 8.2834e-04
Loss = 1.2923e-01, PNorm = 53.0621, GNorm = 0.1579, lr_0 = 8.3430e-04
Loss = 1.7347e-01, PNorm = 53.1856, GNorm = 0.2299, lr_0 = 8.4026e-04
Loss = 1.3300e-01, PNorm = 53.3405, GNorm = 0.2385, lr_0 = 8.4623e-04
Loss = 1.7145e-01, PNorm = 53.4812, GNorm = 0.3288, lr_0 = 8.5219e-04
Loss = 1.9196e-01, PNorm = 53.6008, GNorm = 0.1990, lr_0 = 8.5815e-04
Loss = 1.7013e-01, PNorm = 53.7928, GNorm = 0.2034, lr_0 = 8.6411e-04
Loss = 1.8313e-01, PNorm = 53.9613, GNorm = 0.2113, lr_0 = 8.7007e-04
Loss = 1.8483e-01, PNorm = 54.1262, GNorm = 0.1225, lr_0 = 8.7603e-04
Loss = 1.6995e-01, PNorm = 54.3052, GNorm = 0.2421, lr_0 = 8.8199e-04
Loss = 1.1686e-01, PNorm = 54.4834, GNorm = 0.2334, lr_0 = 8.8795e-04
Loss = 1.5598e-01, PNorm = 54.6018, GNorm = 0.2338, lr_0 = 8.9391e-04
Loss = 1.5054e-01, PNorm = 54.7578, GNorm = 0.1375, lr_0 = 8.9987e-04
Loss = 1.7039e-01, PNorm = 54.9003, GNorm = 0.1626, lr_0 = 9.0583e-04
Loss = 1.0789e-01, PNorm = 55.0867, GNorm = 0.1136, lr_0 = 9.1179e-04
Loss = 1.2811e-01, PNorm = 55.2128, GNorm = 0.2513, lr_0 = 9.1775e-04
Loss = 1.6970e-01, PNorm = 55.3038, GNorm = 0.1896, lr_0 = 9.2371e-04
Loss = 1.2027e-01, PNorm = 55.4872, GNorm = 0.1506, lr_0 = 9.2967e-04
Loss = 1.3325e-01, PNorm = 55.6135, GNorm = 0.0898, lr_0 = 9.3563e-04
Loss = 1.6911e-01, PNorm = 55.6896, GNorm = 0.2170, lr_0 = 9.4159e-04
Loss = 1.5959e-01, PNorm = 55.8327, GNorm = 0.1984, lr_0 = 9.4755e-04
Loss = 1.0886e-01, PNorm = 55.9953, GNorm = 0.1225, lr_0 = 9.5351e-04
Loss = 1.5725e-01, PNorm = 56.1034, GNorm = 0.1638, lr_0 = 9.5947e-04
Loss = 1.5355e-01, PNorm = 56.2180, GNorm = 0.1705, lr_0 = 9.6543e-04
Loss = 1.4242e-01, PNorm = 56.3887, GNorm = 0.2028, lr_0 = 9.7139e-04
Loss = 1.6669e-01, PNorm = 56.5323, GNorm = 0.1957, lr_0 = 9.7735e-04
Loss = 1.6412e-01, PNorm = 56.6815, GNorm = 0.3914, lr_0 = 9.8331e-04
Loss = 1.7265e-01, PNorm = 56.8361, GNorm = 0.1509, lr_0 = 9.8927e-04
Loss = 1.5641e-01, PNorm = 57.0050, GNorm = 0.2691, lr_0 = 9.9523e-04
Loss = 1.3836e-01, PNorm = 57.1551, GNorm = 0.1903, lr_0 = 9.9978e-04
Loss = 4.2249e-02, PNorm = 57.1741, GNorm = 0.1641, lr_0 = 9.9967e-04
Validation auc = 0.690180
Epoch 2
Loss = 1.6887e-01, PNorm = 57.3030, GNorm = 0.1078, lr_0 = 9.9859e-04
Loss = 1.6312e-01, PNorm = 57.4486, GNorm = 0.1962, lr_0 = 9.9750e-04
Loss = 1.2850e-01, PNorm = 57.6602, GNorm = 0.1179, lr_0 = 9.9641e-04
Loss = 1.1909e-01, PNorm = 57.8063, GNorm = 0.2008, lr_0 = 9.9533e-04
Loss = 1.1536e-01, PNorm = 57.9354, GNorm = 0.2177, lr_0 = 9.9424e-04
Loss = 1.6427e-01, PNorm = 58.0540, GNorm = 0.2885, lr_0 = 9.9316e-04
Loss = 1.2984e-01, PNorm = 58.2224, GNorm = 0.1440, lr_0 = 9.9208e-04
Loss = 1.9237e-01, PNorm = 58.3747, GNorm = 0.1855, lr_0 = 9.9100e-04
Loss = 1.5793e-01, PNorm = 58.5976, GNorm = 0.1538, lr_0 = 9.8992e-04
Loss = 1.6469e-01, PNorm = 58.8245, GNorm = 0.2291, lr_0 = 9.8884e-04
Loss = 1.3617e-01, PNorm = 59.0166, GNorm = 0.2382, lr_0 = 9.8777e-04
Loss = 1.7063e-01, PNorm = 59.1847, GNorm = 0.1817, lr_0 = 9.8669e-04
Loss = 1.1284e-01, PNorm = 59.3484, GNorm = 0.1571, lr_0 = 9.8562e-04
Loss = 1.7387e-01, PNorm = 59.4870, GNorm = 0.2922, lr_0 = 9.8455e-04
Loss = 1.4604e-01, PNorm = 59.6485, GNorm = 0.1799, lr_0 = 9.8347e-04
Loss = 1.1482e-01, PNorm = 59.8344, GNorm = 0.2687, lr_0 = 9.8240e-04
Loss = 1.5786e-01, PNorm = 59.9264, GNorm = 0.1667, lr_0 = 9.8133e-04
Loss = 1.4465e-01, PNorm = 60.0718, GNorm = 0.2524, lr_0 = 9.8026e-04
Loss = 1.7351e-01, PNorm = 60.2061, GNorm = 0.1790, lr_0 = 9.7920e-04
