Loading data
Number of tasks = 13
Fold 0
Splitting data with seed 0
Class sizes
G1 0: 96.70%, 1: 3.30%
G2 0: 97.37%, 1: 2.63%
G3 0: 96.61%, 1: 3.39%
G4 0: 95.81%, 1: 4.19%
G5 0: 95.92%, 1: 4.08%
G6 0: 96.50%, 1: 3.50%
G7 0: 95.89%, 1: 4.11%
G8 0: 96.01%, 1: 3.99%
G9 0: 96.67%, 1: 3.33%
G10 0: 96.67%, 1: 3.33%
G11 0: 93.72%, 1: 6.28%
G12 0: 96.58%, 1: 3.42%
G13 0: 94.79%, 1: 5.21%
Total size = 37,773 | train size = 37,773 | val size = 4,721 | test size = 4,723
Building model 0
MoleculeModel(
  (sigmoid): Sigmoid()
  (encoder): MPN()
  (ffn): Sequential(
    (0): Dropout(p=0.25, inplace=False)
    (1): Linear(in_features=200, out_features=1400, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.25, inplace=False)
    (4): Linear(in_features=1400, out_features=13, bias=True)
  )
)
Number of parameters = 299,613
Moving model to cuda
Epoch 0
Loss = 1.4316e-01, PNorm = 19.8468, GNorm = 0.1503, lr_0 = 4.9397e-04
Loss = 2.0066e-01, PNorm = 19.8374, GNorm = 0.1238, lr_0 = 4.9993e-04
Loss = 1.3253e-01, PNorm = 19.8692, GNorm = 0.0937, lr_0 = 5.0589e-04
Loss = 1.2614e-01, PNorm = 19.8974, GNorm = 0.1200, lr_0 = 5.1185e-04
Loss = 1.4336e-01, PNorm = 19.8877, GNorm = 0.1093, lr_0 = 5.1781e-04
Loss = 1.1095e-01, PNorm = 19.8987, GNorm = 0.0810, lr_0 = 5.2377e-04
Loss = 2.0968e-01, PNorm = 19.8831, GNorm = 0.2098, lr_0 = 5.2974e-04
Loss = 1.4527e-01, PNorm = 19.8959, GNorm = 0.1141, lr_0 = 5.3570e-04
Loss = 1.4149e-01, PNorm = 19.9327, GNorm = 0.1298, lr_0 = 5.4166e-04
Loss = 2.1410e-01, PNorm = 19.9208, GNorm = 0.1194, lr_0 = 5.4762e-04
Validation auc = 0.676363
Epoch 1
Loss = 1.9308e-01, PNorm = 19.9629, GNorm = 0.1745, lr_0 = 5.5417e-04
Loss = 1.8119e-01, PNorm = 19.9691, GNorm = 0.1125, lr_0 = 5.6013e-04
Loss = 1.2041e-01, PNorm = 19.9948, GNorm = 0.0995, lr_0 = 5.6609e-04
Loss = 1.6779e-01, PNorm = 19.9939, GNorm = 0.1153, lr_0 = 5.7205e-04
Loss = 1.4460e-01, PNorm = 19.9969, GNorm = 0.0890, lr_0 = 5.7801e-04
Loss = 1.5490e-01, PNorm = 20.0131, GNorm = 0.1097, lr_0 = 5.8397e-04
Loss = 1.4627e-01, PNorm = 20.0363, GNorm = 0.0989, lr_0 = 5.8993e-04
Loss = 1.3809e-01, PNorm = 20.0463, GNorm = 0.1064, lr_0 = 5.9589e-04
Loss = 1.3413e-01, PNorm = 20.0512, GNorm = 0.1136, lr_0 = 6.0185e-04
