Loading data
Number of tasks = 13
Fold 0
Splitting data with seed 0
Class sizes
G1 0: 96.70%, 1: 3.30%
G2 0: 97.37%, 1: 2.63%
G3 0: 96.61%, 1: 3.39%
G4 0: 95.81%, 1: 4.19%
G5 0: 95.92%, 1: 4.08%
G6 0: 96.50%, 1: 3.50%
G7 0: 95.89%, 1: 4.11%
G8 0: 96.01%, 1: 3.99%
G9 0: 96.67%, 1: 3.33%
G10 0: 96.67%, 1: 3.33%
G11 0: 93.72%, 1: 6.28%
G12 0: 96.58%, 1: 3.42%
G13 0: 94.79%, 1: 5.21%
Total size = 37,773 | train size = 37,773 | val size = 4,721 | test size = 4,723
Building model 0
MoleculeModel(
  (sigmoid): Sigmoid()
  (encoder): MPN(
    (encoder): ModuleList(
      (0): MPNEncoder(
        (dropout_layer): Dropout(p=0.4, inplace=False)
        (act_func): ReLU()
        (W_i): Linear(in_features=147, out_features=1300, bias=False)
        (W_h): Linear(in_features=1300, out_features=1300, bias=False)
        (W_o): Linear(in_features=1433, out_features=1300, bias=True)
      )
    )
  )
  (ffn): Sequential(
    (0): Dropout(p=0.4, inplace=False)
    (1): Linear(in_features=1500, out_features=1300, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.4, inplace=False)
    (4): Linear(in_features=1300, out_features=13, bias=True)
  )
)
Number of parameters = 5,713,513
Moving model to cuda
Epoch 0
Loss = 1.6564e-01, PNorm = 71.7962, GNorm = 0.1877, lr_0 = 9.5082e-04
Loss = 1.7591e-01, PNorm = 71.8529, GNorm = 0.1207, lr_0 = 9.4979e-04
Loss = 1.8162e-01, PNorm = 71.8646, GNorm = 0.1328, lr_0 = 9.4875e-04
Loss = 1.2155e-01, PNorm = 71.8989, GNorm = 0.1143, lr_0 = 9.4772e-04
Loss = 1.5475e-01, PNorm = 71.9237, GNorm = 0.2083, lr_0 = 9.4669e-04
Loss = 1.8514e-01, PNorm = 71.9246, GNorm = 0.1828, lr_0 = 9.4566e-04
Loss = 1.4605e-01, PNorm = 72.0111, GNorm = 0.1662, lr_0 = 9.4463e-04
Loss = 1.5727e-01, PNorm = 72.0238, GNorm = 0.1424, lr_0 = 9.4360e-04
Loss = 1.9039e-01, PNorm = 72.0458, GNorm = 0.1213, lr_0 = 9.4257e-04
Loss = 1.5866e-01, PNorm = 72.1021, GNorm = 0.1213, lr_0 = 9.4154e-04
Loss = 1.4956e-01, PNorm = 72.1508, GNorm = 0.1372, lr_0 = 9.4052e-04
Loss = 1.5905e-01, PNorm = 72.1758, GNorm = 0.1444, lr_0 = 9.3950e-04
Loss = 1.6201e-01, PNorm = 72.1705, GNorm = 0.1503, lr_0 = 9.3847e-04
Loss = 1.5925e-01, PNorm = 72.2210, GNorm = 0.1657, lr_0 = 9.3745e-04
Loss = 1.7722e-01, PNorm = 72.2348, GNorm = 0.1205, lr_0 = 9.3643e-04
Loss = 1.6671e-01, PNorm = 72.2960, GNorm = 0.2309, lr_0 = 9.3541e-04
Loss = 1.2250e-01, PNorm = 72.3294, GNorm = 0.2755, lr_0 = 9.3439e-04
Loss = 1.7682e-01, PNorm = 72.3274, GNorm = 0.1989, lr_0 = 9.3338e-04
Loss = 1.5121e-01, PNorm = 72.3707, GNorm = 0.1250, lr_0 = 9.3236e-04
Loss = 1.6354e-01, PNorm = 72.4048, GNorm = 0.1568, lr_0 = 9.3135e-04
Loss = 1.3922e-01, PNorm = 72.4105, GNorm = 0.1253, lr_0 = 9.3033e-04
Loss = 1.2808e-01, PNorm = 72.4507, GNorm = 0.1412, lr_0 = 9.2932e-04
Loss = 1.8983e-01, PNorm = 72.4645, GNorm = 0.2114, lr_0 = 9.2831e-04
Loss = 1.1863e-01, PNorm = 72.5164, GNorm = 0.1077, lr_0 = 9.2730e-04
Loss = 1.4461e-01, PNorm = 72.5591, GNorm = 0.1391, lr_0 = 9.2629e-04
Loss = 1.2630e-01, PNorm = 72.6060, GNorm = 0.1173, lr_0 = 9.2528e-04
Loss = 1.0592e-01, PNorm = 72.6918, GNorm = 0.1846, lr_0 = 9.2427e-04
Loss = 1.3790e-01, PNorm = 72.6796, GNorm = 0.1308, lr_0 = 9.2327e-04
Loss = 1.4067e-01, PNorm = 72.7322, GNorm = 0.1169, lr_0 = 9.2226e-04
Loss = 1.4817e-01, PNorm = 72.7846, GNorm = 0.1040, lr_0 = 9.2126e-04
Validation auc = 0.703963
Epoch 3
Loss = 1.5925e-01, PNorm = 72.8119, GNorm = 0.1489, lr_0 = 9.2025e-04
Loss = 1.6456e-01, PNorm = 72.8660, GNorm = 0.1813, lr_0 = 9.1925e-04
Loss = 1.6415e-01, PNorm = 72.9248, GNorm = 0.1382, lr_0 = 9.1825e-04
Loss = 1.5846e-01, PNorm = 72.9951, GNorm = 0.1274, lr_0 = 9.1725e-04
Loss = 1.3467e-01, PNorm = 73.0436, GNorm = 0.1069, lr_0 = 9.1625e-04
Loss = 1.6483e-01, PNorm = 73.0956, GNorm = 0.3584, lr_0 = 9.1525e-04
Loss = 1.5205e-01, PNorm = 73.1077, GNorm = 0.1378, lr_0 = 9.1426e-04
Loss = 2.1602e-01, PNorm = 73.1298, GNorm = 0.1403, lr_0 = 9.1326e-04
Loss = 1.5796e-01, PNorm = 73.1998, GNorm = 0.1115, lr_0 = 9.1227e-04
Loss = 1.1691e-01, PNorm = 73.2498, GNorm = 0.0958, lr_0 = 9.1128e-04
